BRANDS,COLORS,MEMORY,STORAGE,RATING,SELLING_PRICE,ORIGINAL_PRICE,DISCOUNT,DISCOUNT_PERCENTAGE
ASUS,GOLD,1_GB,8_GB,3.8,5699,5699,0,0.0
OPPO,BLACK,3_GB,32_GB,4.3,12990,12990,0,0.0
SAMSUNG,WHITE,4_GB,64_GB,4.3,15899,18900,3001,15.878306878306878
APPLE,RED,4_GB,256_GB,4.6,78999,94900,15901,16.75553213909378
REALME,SILVER,4_GB,64_GB,4.3,13499,14999,1500,10.000666711114077
NOKIA,BLACK,LESS_THAN_1GB,EXPANDABLE,3.8,3886,3886,0,0.0
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,3.9,2142,2192,50,2.281021897810219
SAMSUNG,WHITE,6_GB,128_GB,4.3,27499,30499,3000,9.836388078297649
ASUS,BLUE,3_GB,32_GB,4.3,12999,12999,0,0.0
GIONEE,GOLD,4_GB,64_GB,4.0,7675,8999,1324,14.712745860651182
OPPO,BLACK,8_GB,128_GB,4.2,30994,30994,0,0.0
POCO,BLUE,4_GB,64_GB,4.4,8999,11999,3000,25.00208350695891
SAMSUNG,BLACK,6_GB,128_GB,4.1,21999,24999,3000,12.000480019200769
VIVO,BLACK,4_GB,128_GB,4.1,16490,19990,3500,17.508754377188595
REALME,RED,6_GB,128_GB,4.4,18999,18999,0,0.0
INFINIX,BLACK,4_GB,64_GB,4.4,12999,12999,0,0.0
ASUS,WHITE,3_GB,16_GB,4.0,13999,13999,0,0.0
